bodyparts,nose,nose,nose,belly_top,belly_top,belly_top,belly_middle,belly_middle,belly_middle,belly_bottom,belly_bottom,belly_bottom,pawfrontL,pawfrontL,pawfrontL,pawfrontR,pawfrontR,pawfrontR,pawbackL,pawbackL,pawbackL,pawbackR,pawbackR,pawbackR,tailbase,tailbase,tailbase,tailmiddle_1,tailmiddle_1,tailmiddle_1,tailmiddle_2,tailmiddle_2,tailmiddle_2,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,769.186,244.049,0.9929999709129332,731.109,238.793,1.0,700.964,235.786,0.9990000128746032,650.84,234.647,0.996999979019165,719.565,254.551,1.0,741.512,221.791,1.0,628.015,259.419,0.2169999927282333,653.727,206.145,1.0,614.249,215.488,1.0,607.879,170.492,1.0,648.08,133.222,1.0,685.205,114.382,1.0
1,778.006,246.228,0.9990000128746032,737.979,240.12,1.0,701.974,236.407,1.0,657.881,234.998,1.0,719.181,253.95,1.0,750.102,222.105,1.0,648.148,266.698,0.996999979019165,655.586,207.13,1.0,621.385,219.745,1.0,608.741,179.238,1.0,643.149,134.777,1.0,684.159,111.458,1.0
2,784.289,245.996,0.9480000138282776,743.033,238.639,1.0,705.338,236.471,1.0,668.207,236.104,1.0,718.744,253.51,1.0,758.106,221.776,1.0,664.989,267.456,1.0,656.423,206.545,1.0,624.43,229.254,1.0,609.314,180.529,1.0,639.193,137.445,1.0,677.918,110.972,1.0
3,786.117,245.632,0.6959999799728394,748.2,239.032,1.0,706.681,237.478,1.0,669.173,239.536,1.0,718.197,253.592,1.0,762.977,222.104,1.0,680.845,267.867,1.0,655.878,207.459,1.0,625.773,230.705,1.0,610.216,185.174,0.9990000128746032,637.692,137.938,1.0,669.052,116.528,1.0
4,794.625,244.849,0.640999972820282,755.723,238.48,0.9980000257492064,716.002,236.88,0.9940000176429749,674.738,240.606,1.0,719.829,254.359,1.0,762.713,220.577,1.0,692.058,269.464,1.0,656.174,208.248,1.0,629.306,232.165,1.0,611.709,186.555,0.9990000128746032,636.927,138.689,1.0,673.836,117.629,1.0
5,794.706,244.519,0.2399999946355819,756.156,238.288,0.9990000128746032,722.143,237.194,1.0,678.711,241.16,1.0,726.35,254.082,1.0,763.579,220.732,1.0,696.96,270.229,1.0,656.569,207.557,1.0,636.058,235.768,1.0,614.521,195.877,1.0,636.449,143.613,1.0,671.76,118.411,1.0
6,794.346,245.428,0.5799999833106995,755.344,236.98,0.9929999709129332,724.962,236.45,1.0,684.49,238.68,1.0,741.856,253.321,0.9929999709129332,764.806,219.667,1.0,697.829,269.57,1.0,659.246,211.599,1.0,641.062,241.035,1.0,617.441,197.648,1.0,637.414,148.284,1.0,668.984,126.263,1.0
7,,,,763.635,239.253,0.9980000257492064,732.809,237.265,1.0,692.469,239.53,1.0,768.755,253.065,1.0,764.995,219.386,1.0,695.131,269.552,1.0,672.866,209.687,1.0,645.001,235.369,1.0,621.453,198.437,1.0,639.023,148.715,1.0,674.183,128.976,1.0
8,,,,770.758,237.548,1.0,737.67,240.956,1.0,695.14,239.562,1.0,782.506,249.536,1.0,767.731,219.935,1.0,695.298,270.353,1.0,692.75,211.256,1.0,650.051,240.598,1.0,626.188,200.191,1.0,643.922,145.603,1.0,676.836,122.009,1.0
9,812.761,243.107,0.1360000073909759,774.306,238.593,1.0,739.085,240.42,1.0,699.91,242.864,1.0,792.328,248.662,1.0,768.751,220.203,1.0,696.199,270.471,1.0,702.21,218.41,1.0,653.54,241.318,1.0,627.339,200.883,1.0,645.06,145.85,1.0,679.795,122.318,1.0
10,812.56,243.013,0.1500000059604644,778.706,235.783,1.0,748.542,241.964,0.9980000257492064,702.722,244.536,1.0,796.523,249.472,1.0,767.729,221.245,1.0,697.463,270.754,1.0,709.411,217.605,1.0,654.762,240.782,1.0,628.918,200.446,0.9990000128746032,645.863,148.273,1.0,680.53,125.783,1.0
11,,,,780.577,237.239,0.9980000257492064,748.531,242.667,0.996999979019165,705.997,246.056,1.0,803.987,250.56,1.0,766.676,221.416,1.0,697.927,270.868,1.0,718.047,222.543,1.0,658.818,235.976,1.0,636.615,201.17,0.9990000128746032,645.319,148.386,1.0,680.419,126.171,1.0
12,,,,781.115,237.556,0.9980000257492064,748.517,242.138,0.9900000095367432,706.431,245.148,0.9990000128746032,805.679,250.634,1.0,767.431,221.935,1.0,698.426,271.261,1.0,718.797,222.633,1.0,666.643,236.174,1.0,638.871,199.792,1.0,649.223,147.094,1.0,682.623,122.699,1.0
13,,,,781.173,237.384,0.9980000257492064,754.046,242.64,0.9919999837875366,714.667,245.043,0.9919999837875366,805.269,250.118,1.0,767.359,222.065,1.0,699.649,271.911,1.0,718.596,222.335,1.0,670.214,239.929,1.0,640.893,199.684,0.9990000128746032,652.055,153.097,1.0,683.992,123.943,1.0
14,842.196,251.576,0.4510000050067901,802.417,236.446,0.9789999723434448,764.839,242.838,0.9359999895095824,723.016,244.51,0.984000027179718,807.541,250.288,1.0,772.65,219.34,0.6259999871253967,698.301,270.219,1.0,718.696,222.597,1.0,677.297,240.746,1.0,642.529,211.977,1.0,651.998,153.44,1.0,682.006,123.369,1.0
15,841.926,246.399,0.996999979019165,796.869,236.952,1.0,768.767,241.675,1.0,725.32,244.52,1.0,805.493,251.177,1.0,797.835,220.679,1.0,703.387,272.879,1.0,718.34,221.935,1.0,682.653,242.762,1.0,643.169,212.449,1.0,651.656,154.168,1.0,681.687,124.182,1.0
16,842.702,248.656,1.0,802.709,238.102,1.0,770.134,242.711,1.0,731.15,246.97,1.0,807.437,251.064,1.0,812.072,221.875,1.0,723.361,278.936,1.0,718.506,222.1,1.0,683.833,248.009,1.0,644.682,213.943,1.0,649.241,160.623,1.0,678.006,128.382,1.0
17,848.954,249.893,0.9950000047683716,811.947,238.079,0.9559999704360962,771.839,243.73,0.996999979019165,731.974,250.999,1.0,802.493,250.418,1.0,819.304,224.954,1.0,741.836,273.919,1.0,718.537,222.475,1.0,687.44,244.22,1.0,653.617,217.815,1.0,651.697,165.193,1.0,679.721,137.34,1.0
18,850.714,249.689,1.0,811.792,239.2,0.9929999709129332,773.65,244.065,1.0,737.626,250.344,1.0,801.997,250.468,1.0,822.865,226.336,1.0,759.21,271.804,1.0,718.465,223.14,1.0,689.191,248.659,1.0,655.543,217.266,1.0,652.165,171.88,1.0,679.374,136.181,1.0
19,859.521,247.567,0.9990000128746032,816.947,238.912,0.9819999933242798,779.756,244.564,0.9879999756813048,732.649,252.311,1.0,801.165,250.22,1.0,824.219,225.021,1.0,758.543,272.571,1.0,718.67,222.911,1.0,693.717,252.434,0.9990000128746032,655.204,216.986,0.9950000047683716,652.464,174.103,1.0,675.711,140.662,1.0
